"level4_cod";"scientificName";"SSBS";"Best_guess_binomial";"Reference";"SSS";"Diversity_metric_type";"Study_common_taxon";"Predominant_land_use";"Use_intensity";"Km_to_nearest_edge_of_habitat";"Longitude";"Latitude";"Taxon";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Higher_taxon";"Measurement";"Effort_corrected_measurement";"exist";"note";"status_p";"status.g";"pg"
"BOR-SB";"Camponotus gigas";"SH1_2001__Floren 1 MK Poring 12";"Camponotus gigas";"Floren et al. 2001";"SH1_2001__Floren 1 12";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.709422222222;6.06375;"Camponotus gigas";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"gigas";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus gigas";"SH1_2001__Floren 1 MK Poring 19";"Camponotus gigas";"Floren et al. 2001";"SH1_2001__Floren 1 19";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.696080555556;6.04732222222222;"Camponotus gigas";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"gigas";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus gigas";"SH1_2001__Floren 1 MK Poring 5";"Camponotus gigas";"Floren et al. 2001";"SH1_2001__Floren 1 5";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.695758333333;6.04763888888889;"Camponotus gigas";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"gigas";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus gigas";"SH1_2001__Floren 1 MK Poring 7";"Camponotus gigas";"Floren et al. 2001";"SH1_2001__Floren 1 7";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.697536111111;6.04693333333333;"Camponotus gigas";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"gigas";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus striatus";"SH1_2001__Floren 1 MK Poring 17";"Camponotus striata";"Floren et al. 2001";"SH1_2001__Floren 1 17";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.697097222222;6.04913055555556;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";11;11;"variant";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Camponotus striatus";"SH1_2001__Floren 1 MK Poring 8";"Camponotus striata";"Floren et al. 2001";"SH1_2001__Floren 1 8";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.6992;6.04933333333333;"Formicidae";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";NA;NA;"Hymenoptera";45;45;"variant";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Dolichoderus cuspidatus";"SH1_2001__Floren 1 MK Poring 10";"Dolichoderus cuspidatus";"Floren et al. 2001";"SH1_2001__Floren 1 10";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.699386111111;6.04871388888889;"Dolichoderus cuspidatus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Dolichoderus";"cuspidatus";"Hymenoptera";164;164;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Dolichoderus cuspidatus";"SH1_2001__Floren 1 MK Poring 3";"Dolichoderus cuspidatus";"Floren et al. 2001";"SH1_2001__Floren 1 3";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.698066666667;6.05066111111111;"Dolichoderus cuspidatus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Dolichoderus";"cuspidatus";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Dolichoderus patens";"SH1_2001__Floren 1 MK Poring 11";"Dolichoderus patens";"Floren et al. 2001";"SH1_2001__Floren 1 11";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.709427777778;6.06318611111111;"Dolichoderus patens";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Dolichoderus";"patens";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Dolichoderus patens";"SH1_2001__Floren 1 MK Poring 3";"Dolichoderus patens";"Floren et al. 2001";"SH1_2001__Floren 1 3";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.698066666667;6.05066111111111;"Dolichoderus patens";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Dolichoderus";"patens";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
