"level4_cod";"scientificName";"SSBS";"Best_guess_binomial";"Reference";"SSS";"Diversity_metric_type";"Study_common_taxon";"Predominant_land_use";"Use_intensity";"Km_to_nearest_edge_of_habitat";"Longitude";"Latitude";"Taxon";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Higher_taxon";"Measurement";"Effort_corrected_measurement";"exist";"note";"status_p";"status.g";"pg"
"BZN-AM";"Pachycondyla harpax";"HB1_1999__Vasconcelos 1  3";"Pachycondyla harpax";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 3";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-59.9636111111111;-2.36083333333333;"Pachycondyla harpax";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"harpax";"Hymenoptera";6;6;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla harpax";"HB1_1999__Vasconcelos 1  4";"Pachycondyla harpax";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 4";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-59.9730555555556;-2.36416666666667;"Pachycondyla harpax";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"harpax";"Hymenoptera";3;3;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla harpax";"HB1_1999__Vasconcelos 1  5";"Pachycondyla harpax";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 5";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1052777777778;-2.34138888888889;"Pachycondyla harpax";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"harpax";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla harpax";"HB1_2000__Vasconcelos 1  4";"Pachycondyla harpax";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 4";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pachycondyla harpax";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"harpax";"Hymenoptera";3;3;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla harpax";"HB1_2000__Vasconcelos 1  7";"Pachycondyla harpax";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 7";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pachycondyla harpax";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"harpax";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla harpax";"HB1_2000__Vasconcelos 1  9";"Pachycondyla harpax";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 9";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pachycondyla harpax";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"harpax";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla obscuricornis";"HB1_1999__Vasconcelos 1  1";"Pachycondyla obscuricornis";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 1";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1047222222222;-2.33916666666667;"Pachycondyla obscuricornis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"obscuricornis";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla obscuricornis";"HB1_1999__Vasconcelos 1  2";"Pachycondyla obscuricornis";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 2";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.0952777777778;-2.34111111111111;"Pachycondyla obscuricornis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"obscuricornis";"Hymenoptera";13;13;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla obscuricornis";"HB1_1999__Vasconcelos 1  3";"Pachycondyla obscuricornis";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 3";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-59.9636111111111;-2.36083333333333;"Pachycondyla obscuricornis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"obscuricornis";"Hymenoptera";22;22;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla obscuricornis";"HB1_1999__Vasconcelos 1  4";"Pachycondyla obscuricornis";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 4";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-59.9730555555556;-2.36416666666667;"Pachycondyla obscuricornis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"obscuricornis";"Hymenoptera";16;16;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla obscuricornis";"HB1_2000__Vasconcelos 1  5";"Pachycondyla obscuricornis";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 5";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pachycondyla obscuricornis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"obscuricornis";"Hymenoptera";7;7;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla striata";"HB1_1999__Vasconcelos 1  2";"Pachycondyla striata";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 2";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.0952777777778;-2.34111111111111;"Pachycondyla striata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"striata";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pachycondyla unidentata";"HB1_1999__Vasconcelos 1  3";"Pachycondyla unidentata";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 3";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-59.9636111111111;-2.36083333333333;"Pachycondyla unidentata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pachycondyla";"unidentata";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole embolopyx";"HB1_1999__Vasconcelos 1  2";"Pheidole embolopyx";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 2";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.0952777777778;-2.34111111111111;"Pheidole embolopyx";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";"embolopyx";"Hymenoptera";8;8;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole embolopyx";"HB1_1999__Vasconcelos 1  4";"Pheidole embolopyx";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 4";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-59.9730555555556;-2.36416666666667;"Pheidole embolopyx";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";"embolopyx";"Hymenoptera";7;7;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole embolopyx";"HB1_2000__Vasconcelos 1  1";"Pheidole embolopyx";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 1";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole embolopyx";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";"embolopyx";"Hymenoptera";4;4;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole embolopyx";"HB1_2000__Vasconcelos 1  2";"Pheidole embolopyx";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 2";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole embolopyx";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";"embolopyx";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole embolopyx";"HB1_2000__Vasconcelos 1  3";"Pheidole embolopyx";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 3";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole embolopyx";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";"embolopyx";"Hymenoptera";9;9;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole embolopyx";"HB1_2000__Vasconcelos 1  5";"Pheidole embolopyx";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 5";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole embolopyx";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";"embolopyx";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole embolopyx";"HB1_2000__Vasconcelos 1  6";"Pheidole embolopyx";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 6";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole embolopyx";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";"embolopyx";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole exigua";"HB1_2000__Vasconcelos 1  1";"Pheidole exigua";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 1";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";NA;"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole exigua";"HB1_2000__Vasconcelos 1  4";"Pheidole exigua";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 4";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";NA;"Hymenoptera";11;11;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole exigua";"HB1_2000__Vasconcelos 1  5";"Pheidole exigua";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 5";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";NA;"Hymenoptera";3;3;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole exigua";"HB1_2000__Vasconcelos 1  6";"Pheidole exigua";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 6";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";NA;"Hymenoptera";12;12;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole exigua";"HB1_2000__Vasconcelos 1  7";"Pheidole exigua";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 7";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";NA;"Hymenoptera";4;4;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole exigua";"HB1_2000__Vasconcelos 1  8";"Pheidole exigua";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 8";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";NA;"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole exigua";"HB1_2000__Vasconcelos 1  9";"Pheidole exigua";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 9";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";NA;"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole mamore";"HB1_2000__Vasconcelos 1  5";"Pheidole mamore";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 5";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";NA;"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pheidole mamore";"HB1_2000__Vasconcelos 1  8";"Pheidole mamore";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 8";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pheidole";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pheidole";NA;"Hymenoptera";12;12;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Prionopelta modesta";"HB1_2000__Vasconcelos 1  4";"Prionopelta modesta";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 4";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Prionopelta modesta";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Prionopelta";"modesta";"Hymenoptera";16;16;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Prionopelta modesta";"HB1_2000__Vasconcelos 1  5";"Prionopelta modesta";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 5";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Prionopelta modesta";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Prionopelta";"modesta";"Hymenoptera";18;18;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Prionopelta modesta";"HB1_2000__Vasconcelos 1  6";"Prionopelta modesta";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 6";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Prionopelta modesta";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Prionopelta";"modesta";"Hymenoptera";26;26;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Prionopelta modesta";"HB1_2000__Vasconcelos 1  7";"Prionopelta modesta";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 7";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Prionopelta modesta";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Prionopelta";"modesta";"Hymenoptera";8;8;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Prionopelta modesta";"HB1_2000__Vasconcelos 1  8";"Prionopelta modesta";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 8";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Prionopelta modesta";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Prionopelta";"modesta";"Hymenoptera";10;10;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Prionopelta modesta";"HB1_2000__Vasconcelos 1  9";"Prionopelta modesta";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 9";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Prionopelta modesta";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Prionopelta";"modesta";"Hymenoptera";13;13;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pseudomyrmex tenuis";"HB1_1999__Vasconcelos 1  1";"Pseudomyrmex tenuis";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 1";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1047222222222;-2.33916666666667;"Pseudomyrmex tenuis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pseudomyrmex";"tenuis";"Hymenoptera";3;3;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pseudomyrmex tenuis";"HB1_1999__Vasconcelos 1  3";"Pseudomyrmex tenuis";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 3";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-59.9636111111111;-2.36083333333333;"Pseudomyrmex tenuis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pseudomyrmex";"tenuis";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pseudomyrmex tenuis";"HB1_1999__Vasconcelos 1  5";"Pseudomyrmex tenuis";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 5";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1052777777778;-2.34138888888889;"Pseudomyrmex tenuis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pseudomyrmex";"tenuis";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pseudomyrmex tenuis";"HB1_2000__Vasconcelos 1  5";"Pseudomyrmex tenuis";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 5";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pseudomyrmex tenuis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pseudomyrmex";"tenuis";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pseudomyrmex tenuis";"HB1_2000__Vasconcelos 1  7";"Pseudomyrmex tenuis";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 7";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Pseudomyrmex tenuis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pseudomyrmex";"tenuis";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pseudomyrmex termitarius";"HB1_1999__Vasconcelos 1  5";"Pseudomyrmex termitarius";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 5";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1052777777778;-2.34138888888889;"Pseudomyrmex termitarius";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pseudomyrmex";"termitarius";"Hymenoptera";57;57;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Pyramica zeteki";"HB1_1999__Vasconcelos 1  2";"Pyramica zeteki";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 2";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.0952777777778;-2.34111111111111;"Pyramica zeteki";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Pyramica";"zeteki";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Rogeria micromma";"HB1_2000__Vasconcelos 1  2";"Rogeria micromma";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 2";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Rogeria micromma";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Rogeria";"micromma";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Solenopsis geminata";"HB1_1999__Vasconcelos 1  1";"Solenopsis geminata";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 1";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1047222222222;-2.33916666666667;"Solenopsis geminata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Solenopsis";"geminata";"Hymenoptera";3;3;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Solenopsis geminata";"HB1_1999__Vasconcelos 1  5";"Solenopsis geminata";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 5";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1052777777778;-2.34138888888889;"Solenopsis geminata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Solenopsis";"geminata";"Hymenoptera";56;56;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Solenopsis globularia";"HB1_1999__Vasconcelos 1  5";"Solenopsis globularia";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 5";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1052777777778;-2.34138888888889;"Solenopsis globularia";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Solenopsis";"globularia";"Hymenoptera";10;10;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Solenopsis saevissima";"HB1_1999__Vasconcelos 1  3";"Solenopsis saevissima";"Vasconcelos 1999";"HB1_1999__Vasconcelos 1 3";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-59.9636111111111;-2.36083333333333;"Solenopsis saevissima";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Solenopsis";"saevissima";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Solenopsis saevissima";"HB1_2000__Vasconcelos 1  1";"Solenopsis saevissima";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 1";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Solenopsis saevissima";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Solenopsis";"saevissima";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Solenopsis saevissima";"HB1_2000__Vasconcelos 1  4";"Solenopsis saevissima";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 4";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Solenopsis saevissima";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Solenopsis";"saevissima";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Solenopsis saevissima";"HB1_2000__Vasconcelos 1  6";"Solenopsis saevissima";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 6";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Solenopsis saevissima";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Solenopsis";"saevissima";"Hymenoptera";8;8;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Solenopsis saevissima";"HB1_2000__Vasconcelos 1  9";"Solenopsis saevissima";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 9";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Solenopsis saevissima";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Solenopsis";"saevissima";"Hymenoptera";22;22;"exact";NA;"predicts";NA;"predicts_NA"
"BZN-AM";"Strumigenys deinomastax";"HB1_2000__Vasconcelos 1  1";"Strumygenys denticulata";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 1";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Strumigenys";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Strumigenys";NA;"Hymenoptera";1;1;"none";"corrected";"predicts";NA;"predicts_NA"
"BZN-AM";"Strumigenys deinomastax";"HB1_2000__Vasconcelos 1  4";"Strumygenys denticulata";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 4";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Strumigenys";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Strumigenys";NA;"Hymenoptera";56;56;"none";"corrected";"predicts";NA;"predicts_NA"
"BZN-AM";"Strumigenys deinomastax";"HB1_2000__Vasconcelos 1  5";"Strumygenys denticulata";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 5";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Strumigenys";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Strumigenys";NA;"Hymenoptera";28;28;"none";"corrected";"predicts";NA;"predicts_NA"
"BZN-AM";"Strumigenys deinomastax";"HB1_2000__Vasconcelos 1  6";"Strumygenys denticulata";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 6";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Strumigenys";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Strumigenys";NA;"Hymenoptera";74;74;"none";"corrected";"predicts";NA;"predicts_NA"
"BZN-AM";"Strumigenys deinomastax";"HB1_2000__Vasconcelos 1  7";"Strumygenys denticulata";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 7";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Strumigenys";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Strumigenys";NA;"Hymenoptera";9;9;"none";"corrected";"predicts";NA;"predicts_NA"
"BZN-AM";"Strumigenys deinomastax";"HB1_2000__Vasconcelos 1  8";"Strumygenys denticulata";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 8";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Strumigenys";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Strumigenys";NA;"Hymenoptera";46;46;"none";"corrected";"predicts";NA;"predicts_NA"
"BZN-AM";"Strumigenys deinomastax";"HB1_2000__Vasconcelos 1  9";"Strumygenys denticulata";"Vasconcelos et al. 2000";"HB1_2000__Vasconcelos 1 9";"Abundance";"Formicidae";"Young secondary vegetation";"Minimal use";NA;-60.1833333333333;-2.63472222222222;"Strumigenys";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Strumigenys";NA;"Hymenoptera";29;29;"none";"corrected";"predicts";NA;"predicts_NA"
